,DATASET,COMPRESSION_TYPE,IMAGE,COMPRESSION_LEVEL,ACCURACY,F1_SCORE,MCC
31,comofod,JPEG,11,8,0.9914588928222656,0.227131515360718,0.35449023963825754
32,comofod,JPEG,11,9,0.990936279296875,0.13725490196078433,0.2695419664565844
33,comofod,JPEG,12,7,0.9495353698730469,0.2451355206847361,0.3227411758641585
34,comofod,JPEG,12,8,0.9532737731933594,0.33871403120444854,0.4069657910656258
35,comofod,JPEG,12,9,0.9488487243652344,0.2302083931339342,0.3064123876550944
36,comofod,JPEG,13,7,0.9168281555175781,0.15160122961982955,0.27373902771946124
37,comofod,JPEG,13,8,0.925384521484375,0.3001788908765653,0.40355665954065695
38,comofod,JPEG,13,9,0.9148941040039062,0.11468253968253968,0.23502281065995187
39,comofod,JPEG,14,7,0.9833602905273438,0.20372398685651696,0.3328555435401025
40,comofod,JPEG,14,8,0.9846267700195312,0.30732210381574426,0.4212031924463096
41,comofod,JPEG,14,9,0.9831123352050781,0.1815492697356258,0.31269159413805875
42,comofod,JPEG,15,7,0.9041862487792969,0.20824007817671722,0.32138804427422885
43,comofod,JPEG,15,8,0.9124870300292969,0.3234938515525936,0.41711944336691575
44,comofod,JPEG,15,9,0.9016227722167969,0.16860633805087205,0.2859791312418719
45,comofod,JPEG,16,7,0.9814872741699219,0.14484581497797358,0.27682089940721827
46,comofod,JPEG,16,8,0.9832115173339844,0.28287436858399867,0.40144212013123975
47,comofod,JPEG,16,9,0.9810066223144531,0.10272121102901424,0.23046017294640614
48,comofod,JPEG,17,7,0.9723358154296875,0.14501296863947183,0.27288629279476084
49,comofod,JPEG,17,8,0.9735946655273438,0.2160815402038505,0.3397607743139881
50,comofod,JPEG,17,9,0.9720916748046875,0.13070342205323193,0.25793901482313203
51,comofod,JPEG,18,7,0.9919281005859375,0.11092436974789915,0.23791688834617714
52,comofod,JPEG,18,8,0.9920921325683594,0.14374225526641884,0.27495801241844947
53,comofod,JPEG,18,9,0.9918899536132812,0.1014370245139476,0.22838189143279874
54,comofod,JPEG,19,7,0.9834442138671875,0.05734144222415291,0.16784149803896445
55,comofod,JPEG,19,8,0.9839210510253906,0.11207078154623973,0.23613100860011144
56,comofod,JPEG,19,9,0.9836502075195312,0.08104631217838765,0.20018320173447268
57,comofod,JPEG,20,7,0.9898719787597656,0.1051567239635996,0.2294726309938605
58,comofod,JPEG,20,8,0.9905662536621094,0.22208241585404215,0.34241514854323146
59,comofod,JPEG,20,9,0.9897918701171875,0.0941096817874069,0.21305782626193806
60,comofod,JPEG,1,7,0.9813957214355469,0.09399962845996657,0.14137809809533436
61,comofod,JPEG,1,8,0.981903076171875,0.14982078853046596,0.2057947509925042
62,comofod,JPEG,1,9,0.9813804626464844,0.0823463056965595,0.12890454266297374
63,comofod,JPEG,2,7,0.9591217041015625,0.10818908122503329,0.21607524328342445
64,comofod,JPEG,2,8,0.9615020751953125,0.2054794520547945,0.3157876059856359
65,comofod,JPEG,2,9,0.9588470458984375,0.09904793719726074,0.20241339982682474
66,comofod,JPEG,3,7,0.9832801818847656,0.15662882432172406,0.22705764978717138
67,comofod,JPEG,3,8,0.9839630126953125,0.2452423698384201,0.30754253643949997
68,comofod,JPEG,3,9,0.9833564758300781,0.15885868517447466,0.23172238173596565
69,comofod,JPEG,4,7,0.9895591735839844,0.2806833114323259,0.3392133106601721
70,comofod,JPEG,4,8,0.9902496337890625,0.3729146221786065,0.4186458561660878
71,comofod,JPEG,4,9,0.9892997741699219,0.2685788787483703,0.32084772407839407
72,comofod,JPEG,5,7,0.9342880249023438,0.2398729150119142,0.3418547274694179
73,comofod,JPEG,5,8,0.941619873046875,0.37707587105177465,0.4574274257407455
74,comofod,JPEG,5,9,0.9330482482910156,0.21327715271863373,0.31845500339641325
75,comofod,JPEG,6,7,0.8682403564453125,0.22770771845094356,0.33103290879017233
76,comofod,JPEG,6,8,0.8826217651367188,0.3658285243198681,0.44144854853762294
77,comofod,JPEG,6,9,0.8641891479492188,0.18534620841151433,0.2930315412791338
78,comofod,JPEG,7,7,0.9786415100097656,0.049889699643645,0.0715378431901817
79,comofod,JPEG,7,8,0.9806556701660156,0.1771864351776732,0.23935603886413484
80,comofod,JPEG,7,9,0.978515625,0.041524846834581346,0.059052582097415166
81,comofod,JPEG,8,7,0.9953384399414062,0.023961661341853034,0.0219279009631269
82,comofod,JPEG,8,8,0.9953117370605469,0.019154030327214685,0.017048574105055943
83,comofod,JPEG,8,9,0.995391845703125,0.0033003300330033004,0.0010924157971059566
84,comofod,JPEG,9,7,0.9740943908691406,0.14222559050145256,0.2254089643737106
85,comofod,JPEG,9,8,0.9770164489746094,0.29950005813277525,0.3863372497603217
86,comofod,JPEG,9,9,0.9734001159667969,0.12012618296529969,0.1881353840415567
87,comofod,JPEG,10,7,0.9934463500976562,0.0,-0.0032813342435917873
88,comofod,JPEG,10,8,0.99407958984375,0.11516533637400228,0.11258676212800581
89,comofod,JPEG,10,9,0.9937095642089844,0.0,-0.003154347172352656
90,comofod,JPEG,11,7,0.9909553527832031,0.1418747737965979,0.27310862514804946
91,comofod,JPEG,11,8,0.9914588928222656,0.227131515360718,0.35449023963825754
92,comofod,JPEG,11,9,0.990936279296875,0.13725490196078433,0.2695419664565844
93,comofod,JPEG,12,7,0.9495353698730469,0.2451355206847361,0.3227411758641585
94,comofod,JPEG,12,8,0.9532737731933594,0.33871403120444854,0.4069657910656258
95,comofod,JPEG,12,9,0.9488487243652344,0.2302083931339342,0.3064123876550944
96,comofod,JPEG,13,7,0.9168281555175781,0.15160122961982955,0.27373902771946124
97,comofod,JPEG,13,8,0.925384521484375,0.3001788908765653,0.40355665954065695
98,comofod,JPEG,13,9,0.9148941040039062,0.11468253968253968,0.23502281065995187
99,comofod,JPEG,14,7,0.9833602905273438,0.20372398685651696,0.3328555435401025
100,comofod,JPEG,14,8,0.9846267700195312,0.30732210381574426,0.4212031924463096
101,comofod,JPEG,14,9,0.9831123352050781,0.1815492697356258,0.31269159413805875
102,comofod,JPEG,15,7,0.9041862487792969,0.20824007817671722,0.32138804427422885
103,comofod,JPEG,15,8,0.9124870300292969,0.3234938515525936,0.41711944336691575
104,comofod,JPEG,15,9,0.9016227722167969,0.16860633805087205,0.2859791312418719
105,comofod,JPEG,16,7,0.9814872741699219,0.14484581497797358,0.27682089940721827
106,comofod,JPEG,16,8,0.9832115173339844,0.28287436858399867,0.40144212013123975
107,comofod,JPEG,16,9,0.9810066223144531,0.10272121102901424,0.23046017294640614
108,comofod,JPEG,17,7,0.9723358154296875,0.14501296863947183,0.27288629279476084
109,comofod,JPEG,17,8,0.9735946655273438,0.2160815402038505,0.3397607743139881
110,comofod,JPEG,17,9,0.9720916748046875,0.13070342205323193,0.25793901482313203
111,comofod,JPEG,18,7,0.9919281005859375,0.11092436974789915,0.23791688834617714
112,comofod,JPEG,18,8,0.9920921325683594,0.14374225526641884,0.27495801241844947
113,comofod,JPEG,18,9,0.9918899536132812,0.1014370245139476,0.22838189143279874
114,comofod,JPEG,19,7,0.9834442138671875,0.05734144222415291,0.16784149803896445
115,comofod,JPEG,19,8,0.9839210510253906,0.11207078154623973,0.23613100860011144
116,comofod,JPEG,19,9,0.9836502075195312,0.08104631217838765,0.20018320173447268
117,comofod,JPEG,20,7,0.9898719787597656,0.1051567239635996,0.2294726309938605
118,comofod,JPEG,20,8,0.9905662536621094,0.22208241585404215,0.34241514854323146
119,comofod,JPEG,20,9,0.9897918701171875,0.0941096817874069,0.21305782626193806
