,DATASET,COMPRESSION_TYPE,IMAGE,COMPRESSION_LEVEL,ACCURACY,F1_SCORE,MCC,JACCARD
22,comofod,JPEG,3,5,0.98065185546875,0.030210325047801148,0.03739950719295202,0.015336827800427102
23,comofod,JPEG,3,6,0.9832267761230469,0.14671065398796818,0.21792915050555553,0.07916230366492147
24,comofod,JPEG,3,7,0.9832801818847656,0.15662882432172406,0.22705764978717138,0.0849686847599165
25,comofod,JPEG,3,8,0.9839630126953125,0.2452423698384201,0.30754253643949997,0.1397585430734602
26,comofod,JPEG,3,9,0.9833564758300781,0.15885868517447466,0.23172238173596565,0.08628272251308901
27,comofod,JPEG,4,1,0.9892997741699219,0.2685788787483703,0.32084772407839407,0.15512048192771086
28,comofod,JPEG,4,2,0.9811210632324219,0.0,-0.009317066737047762,0.0
29,comofod,JPEG,4,3,0.9820327758789062,0.0,-0.008724993163002157,0.0
30,comofod,JPEG,4,4,0.9857940673828125,0.04757033248081841,0.050215257364807774,0.02436468430704742
31,comofod,JPEG,4,5,0.9885902404785156,0.1730716063035665,0.22552708604055494,0.09473365617433414
32,comofod,JPEG,4,6,0.98907470703125,0.21405049396267836,0.27616513160754985,0.11985248924400738
33,comofod,JPEG,4,7,0.9895591735839844,0.2806833114323259,0.3392133106601721,0.16325282788138185
34,comofod,JPEG,4,8,0.9902496337890625,0.3729146221786065,0.4186458561660878,0.22919179734620024
35,comofod,JPEG,4,9,0.9892997741699219,0.2685788787483703,0.32084772407839407,0.15512048192771086
36,comofod,JPEG,5,1,0.9179611206054688,0.00027891409445890663,-0.02323338757055289,0.00013947649821005161
37,comofod,JPEG,5,2,0.9215049743652344,0.03498569619659522,0.046410806199456645,0.017804295942720764
38,comofod,JPEG,5,3,0.9219818115234375,0.060023899255446274,0.0818202568609923,0.03094053541814736
39,comofod,JPEG,5,4,0.925994873046875,0.0892018779342723,0.15438237396554622,0.04668304668304668
40,comofod,JPEG,5,5,0.9291343688964844,0.12294037108729522,0.23021433431660637,0.06549625232657579
41,comofod,JPEG,5,6,0.9310989379882812,0.16849277230457602,0.27783197811343185,0.09199678262618138
42,comofod,JPEG,5,7,0.9342880249023438,0.2398729150119142,0.3418547274694179,0.13628158844765342
43,comofod,JPEG,5,8,0.941619873046875,0.37707587105177465,0.4574274257407455,0.23234349919743177
44,comofod,JPEG,5,9,0.9330482482910156,0.21327715271863373,0.31845500339641325,0.11936778725539388
45,comofod,JPEG,6,1,0.8466300964355469,0.016920556520038144,0.021815580925834847,0.008532465290621686
46,comofod,JPEG,6,2,0.8462066650390625,0.03226116178588574,0.042663128408919074,0.016395042451449203
47,comofod,JPEG,6,3,0.8487205505371094,0.05201635072789425,0.0859049702613062,0.026702662903423734
48,comofod,JPEG,6,4,0.85321044921875,0.07588856868395773,0.15249309119186522,0.03944083874188717
49,comofod,JPEG,6,5,0.858001708984375,0.11417828756365714,0.22447026441045168,0.06054564268228049
50,comofod,JPEG,6,6,0.8618850708007812,0.15901700269441604,0.26958285377351804,0.08637613868631558
51,comofod,JPEG,6,7,0.8682403564453125,0.22770771845094356,0.33103290879017233,0.12848203471941866
52,comofod,JPEG,6,8,0.8826217651367188,0.3658285243198681,0.44144854853762294,0.22386177323748266
53,comofod,JPEG,6,9,0.8641891479492188,0.18534620841151433,0.2930315412791338,0.10213860587107838
54,comofod,JPEG,7,1,0.9737396240234375,0.0005807200929152149,-0.010744095242590049,0.0002904443799012489
55,comofod,JPEG,7,2,0.9778251647949219,0.0,-0.006837492117819664,0.0
56,comofod,JPEG,7,3,0.9781951904296875,0.0,-0.006262286326095407,0.0
57,comofod,JPEG,7,4,0.977264404296875,0.0,-0.00762765245956044,0.0
58,comofod,JPEG,7,5,0.9782981872558594,0.0007026172492534692,-0.004843369217288546,0.0003514320857494289
59,comofod,JPEG,7,6,0.9777679443359375,0.00034305317324185246,-0.006370753774861394,0.00017155601303825698
60,comofod,JPEG,7,7,0.9786415100097656,0.049889699643645,0.0715378431901817,0.025583014270797077
61,comofod,JPEG,7,8,0.9806556701660156,0.1771864351776732,0.23935603886413484,0.09720491365497597
62,comofod,JPEG,7,9,0.978515625,0.041524846834581346,0.059052582097415166,0.021202641640597843
63,comofod,JPEG,8,1,0.9871940612792969,0.0005954153021732659,-0.004562106214669696,0.0002977963073257892
64,comofod,JPEG,8,2,0.9930419921875,0.0,-0.0034129075711099312,0.0
65,comofod,JPEG,8,3,0.9941558837890625,0.020460358056265986,0.017603780556749486,0.0103359173126615
66,comofod,JPEG,8,4,0.9945793151855469,0.0,-0.002717465382281168,0.0
67,comofod,JPEG,8,5,0.9945106506347656,0.0,-0.0027522279903740344,0.0
68,comofod,JPEG,8,6,0.9954299926757812,0.014802631578947368,0.012810430579079763,0.007456503728251864
69,comofod,JPEG,8,7,0.9953384399414062,0.023961661341853034,0.0219279009631269,0.012126111560226353
70,comofod,JPEG,8,8,0.9953117370605469,0.019154030327214685,0.017048574105055943,0.009669621273166801
71,comofod,JPEG,8,9,0.995391845703125,0.0033003300330033004,0.0010924157971059566,0.001652892561983471
72,comofod,JPEG,9,1,0.9654502868652344,0.07947962191279602,0.07297989747656923,0.0413844199830652
73,comofod,JPEG,9,2,0.96905517578125,0.026871401151631478,0.02660754811001977,0.013618677042801557
74,comofod,JPEG,9,3,0.9700698852539062,0.0005095541401273885,-0.00817320319815737,0.00025484199796126404
75,comofod,JPEG,9,4,0.9704017639160156,0.0005152647172484864,-0.007592039509753544,0.00025769875016106174
76,comofod,JPEG,9,5,0.9701995849609375,0.0005117707267144319,-0.00795092378679456,0.0002559508574353724
77,comofod,JPEG,9,6,0.9733619689941406,0.10047661986345485,0.1715166370341694,0.05289570052895701
78,comofod,JPEG,9,7,0.9740943908691406,0.14222559050145256,0.2254089643737106,0.07655697579548545
79,comofod,JPEG,9,8,0.9770164489746094,0.29950005813277525,0.3863372497603217,0.176124709421578
80,comofod,JPEG,9,9,0.9734001159667969,0.12012618296529969,0.1881353840415567,0.06390119479124715
81,comofod,JPEG,10,1,0.9934959411621094,0.0,-0.0032577825416430233,0.0
82,comofod,JPEG,10,2,0.9944229125976562,0.0,-0.0027815846261549566,0.0
83,comofod,JPEG,10,3,0.9943962097167969,0.0,-0.0027964234473444862,0.0
84,comofod,JPEG,10,4,0.994171142578125,0.00130718954248366,-0.0016096756769692932,0.0006540222367560497
85,comofod,JPEG,10,5,0.9940834045410156,0.0,-0.002964779607426312,0.0
86,comofod,JPEG,10,6,0.9939384460449219,0.0,-0.0030396720405576803,0.0
87,comofod,JPEG,10,7,0.9934463500976562,0.0,-0.0032813342435917873,0.0
88,comofod,JPEG,10,8,0.99407958984375,0.11516533637400228,0.11258676212800581,0.06110102843315184
89,comofod,JPEG,10,9,0.9937095642089844,0.0,-0.003154347172352656,0.0
90,comofod,JPEG,11,1,0.9902191162109375,0.0,,0.0
